"Table 1: Alcohol-specific age-standardised death rates, for English regions and constituent countries of the United Kingdom, 2001 to 2021 [note 2] [note 4] [note 6] [note 7] [note 8]",,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the 'Notes' worksheet.,,,,,,,,,,,,,,,,,,,,,,,,
Source: Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Area code,Area name,Sex,Year [note 3],Number of deaths,"Age-standardised rate per 100,000",Lower 95% confidence interval,Upper 95% confidence interval,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2015,167,7.2,6.1,8.3,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2015,317,14.3,12.7,15.8,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2015,484,10.6,9.7,11.6,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2016,147,6.3,5.2,7.3,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2016,314,13.9,12.3,15.4,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2016,461,10.0,9.1,10.9,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2017,187,7.9,6.8,9.0,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2017,329,14.4,12.8,15.9,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2017,516,11.1,10.1,12.0,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2018,187,7.9,6.8,9.0,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2018,368,16.0,14.4,17.7,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2018,555,11.9,10.9,12.9,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2019,183,7.7,6.5,8.8,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2019,340,14.8,13.2,16.4,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2019,523,11.1,10.2,12.1,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2020,222,9.2,8.0,10.4,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2020,390,16.7,15.1,18.4,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2020,612,12.9,11.9,13.9,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Females,2021,264,10.7,9.4,12.0,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Males,2021,442,18.8,17.1,20.6,,,,,,,,,,,,,,,,,
E12000004,East Midlands,Persons,2021,706,14.7,13.6,15.8,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Females,2001,171,6.9,5.8,7.9,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Males,2001,340,14.2,12.7,15.7,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Persons,2001,511,10.5,9.6,11.4,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Females,2002,170,6.9,5.8,7.9,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Males,2002,370,15.5,13.9,17.1,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Persons,2002,540,11.1,10.1,12.0,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Females,2003,165,6.6,5.6,7.6,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Males,2003,435,17.9,16.2,19.5,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Persons,2003,600,12.1,11.1,13.1,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Females,2004,194,7.7,6.6,8.8,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Males,2004,391,16.1,14.5,17.7,,,,,,,,,,,,,,,,,
E12000005,West Midlands,Persons,2004,585,11.8,10.9,12.8,,,,,,,,,,,,,,,,,
